,comment
0,3 : 05 Dân Chơi Xóm 5 : 35 Giàu Vì Bạn Sang Vì Vợ 9 : 15 Ala_Ela 13 : 33 Đây Là Rap Việt
1,"Bài "" Đây là rap việt "" vẫn hay nhất : >>"
2,Bắc Kim_Thang là bài hát mang dấu_ấn cực_kì đậm_nét cho Rap Việt . Cho_dù vài năm sau khi nhắc tới Rap Việt mùa 1 thì người_ta sẽ nhớ ngay đến bài Bắc Kim_Thang .
3,thích t bài tình_yêu bận_bịu và bài giàu vì bạn sang vì vợ
4,Bài mở_đầu luôn là đỉnh ...
5,Đây là rap việt vẫn chất_ngất nhất lão Đại_Wowy_♥ ️
6,Bài “ Bắc_Kim_Thang ” độc_nhất Chỉ với câu đầu_tiên đã đc 3 giám_khảo nhấn nút
7,Juttatee ấp_ủ bài này mấy năm rồi nay ms gặp đc đúng người để feat cùng . Quá đỉnh
8,Nghe bài bắc kim thang nổi da_gà quá các men ạ 🤧
9,MCKKKKKKKKKK ❤
10,Bắc Kim_Thang độc_nhất vô nhị
11,"ông JTT làm nỗi da dịch luôn á chời , đỉnh ^ ^"
12,""" Đây Là Rap_Việt "" Hay nhứt :))"
13,4 : 05 ai biết info áo anh binz ko nhỉ
14,"MCK ráp như đọc văn luôn . Ghê chưa , ghê chưa . 😂"
15,"MCK , Tlinh <3"
16,Có ai nghe mà cứ phiêu phiêu như tui ko cứ rap theo ls nhờ
17,Mấy Bài này vô chung_kết là win mẹ luôn r :)))
18,NHƯNGC ĐỨA TỐI NAY ĐỊNH ĐÓN GIAO_THỪA MÀ NGHE BẮC KIM ThAng Thì
19,"bài đây là rap việt vẫn hay nhất , vì các hlv và bgk được tự_do bung hết nấc , chứ ko phải nhường spotlight cho thí_sinh"
20,Đoạn của lão tee vẫn đỉnh
21,"Là 1 fan của rap đặc_biệt là RAP_VIỆT thì chắc_chắn mọi người đều mong anh Tour và Rap_Việt up beat tất_cả hoặc các bài hit của Rap Việt ạ , đó luôn là điều mà mọi người luôn mong_chờ ❤"
22,5 : 51 Iced out đoạn này nghe giống time stop :)))
23,Ad làm vd tổng_hợp những lần cười c Binz đê
24,Bài mở màng giờ nge lại nổi da_gà ... đỉnh vl
25,Nghiện nhất ' Dân Chơi_Xóm ' ' =))))))))))
26,binz said : nó đã mạnh rồi mà mấy đứa còn lên giúp nó nữa . Chúng_mày xem anh_em hơn thầy rồi ._Ờ - MÂY - ZINGF
27,MCK Idol tuiii
28,đây là rap việt vẫn là best từ trước đến h và về sau_này về giai_điệu và ý_nghĩa
29,WOWY BỊ THIỂU_NĂNG À : ( ( ( (
30,Vẫn là AKA_NGER_RPT_MCK 🤘
31,lần đầu xem ráp việt không phải chê gì mà sợ xem xong nghiện
32,Mình thì u_mê giọng của Anh_Tú thôi ! 😄 😄 😄 😄 😄
33,Thiếu bài Chim_sẻ dâu_tây của Wowy vs Dế_Choắt r
34,Bài ' ' Đây là Rap Việt ' ' khúc của SUBOI và JUSTATEE là đỉnh nhứt
35,THE BEST 👽 ❤
36,Có Tlinh yêu_dấu của tuiiii kìaaaaa
37,Dân_chơi xong đăng 3 vd mỗi vd 12 tr view : v
38,Đây Là Rap Việt vẫn làm nổi da gà hơn tất_cả
39,"Mở cho các con nghe giải_trí khỏi căng_thẳng áp_lực để mai có tinh_thần thoải_mái thi học_kỳ , chúc các con thành_công"
40,05 : 10 Quá_khứ của Em Anh đã không kịp tham_dự . Nhưng tương_lai của Em Anh nhất_định sẽ tham_gia . ♣
41,Nghe bài giàu vì bạn của MCK giống bài sicko mode của Travis scott vãi 😅
42,Binz xoa đầu r =)) kk
43,Vừa học vừa nghe rapppp !
44,MCK <3
45,1 : 23
46,Nghe những bài rap việt đúng mê luôn 🤣
47,"anh ơi , mai_mốt rap cho e luôn bài con cò bé bé đc ko"
48,“ Coi_chừng ma_da kéo giò ” Nghe run cả người các bác ạ
49,Đây là Rap Việt đảm cấp
50,hóng mùa hai quá
51,"thiếu "" Rồng_rắn lên_mây "" của Thành_Draw ..."
52,"Quá đỉnh vẫn là bài "" Bắc Kim_Thang """
53,Đoạn cuối mấy thánh rap hay vãi
54,hay vl lunn
55,Bắc kim thang nghe ám_ảnh vl
56,Đỉnh nhất vẫn là . đây là rap việt . Bởi có a Rhymastic
57,00 : 08
58,5 : 30 thay anh Gia_Huy dancer co tham_gia Người ấy là ai nhảy cho JustaTee & MCK
59,18 : 50 Tlinh đang biểu_diễn trên sân sau 5 s 18 : 55 Tlinh xuống làm khán_giả rồi
60,Rap Việt nhiều tuyệt_phẩm quá .
61,"Đây là rap việt "" vẫn hay"
62,2021 ai chờ_đợi ráp Việt tiếp nào
63,"05 : 06 Đến khi nào trái_đất ngừng quay , mây ngừng bay , cô_dâu 8 tuổi ngừng phát_sóng , Thì khi đó , anh ngừng yêu em . ‍ 👩"
64,Xong đội ông karik nắm trùm luôn tiết_mục ko là của học_trò thì ổng r ai chơi lại trời
65,Giàu vì bạn sang vì vợ và cả squad ko phải sợ
66,khi có bạn thi JTee thì mọi bài đều okee
67,Bài đỉnh phết nhở
68,5 : 00 nghe có mùi của big bang
69,"Á đù , 4 cái nón vàng trên sân_khấu ! 😃 😃 😃 😃 😃 😃"
70,Mck ♥ ️ ♥ ️
71,Giauf vì bạn sang vì vợ thấy Binz bớt nhột nhịp hơn bắc kim đúng nhở ?
